Time,UNIX_time_ms,RSSI,RSSI2,RSSI3,Lux,Acc_x,Acc_y,Acc_z,Temperature,nodeId
2017-09-27 17:01:39.292,1506524499292,52,60,63,42,-1005,-86,-242,2547,21
2017-09-27 17:01:39.346,1506524499346,57,62,61,55,-1048,-27,125,2582,22
2017-09-27 17:01:41.364,1506524501364,49,55,61,57,-1061,-38,22,2521,21
2017-09-27 17:01:41.417,1506524501417,60,61,61,55,-1058,-27,126,2595,22
2017-09-27 17:01:43.436,1506524503436,45,58,64,53,-1056,-18,86,2521,21
2017-09-27 17:01:43.489,1506524503489,56,58,61,55,-1050,-34,133,2588,22
2017-09-27 17:01:45.507,1506524505507,49,56,62,69,-1063,-20,-50,2547,21
2017-09-27 17:01:45.561,1506524505561,37,58,59,51,-1051,-31,134,2582,22
2017-09-27 17:01:47.575,1506524507575,42,54,63,61,-1062,-11,87,2547,21
2017-09-27 17:01:47.631,1506524507631,59,61,61,55,-1055,-31,129,2582,22
2017-09-27 17:01:49.700,1506524509700,63,60,61,55,-1053,-27,126,2582,22
2017-09-27 17:01:51.774,1506524511774,57,61,61,55,-1053,-31,133,2569,22
2017-09-27 17:01:52.033,1506524512033,0,0,65,97,-1067,-28,105,2547,21
2017-09-27 17:01:53.789,1506524513789,50,62,63,100,-1062,-26,101,2547,21
2017-09-27 17:01:53.846,1506524513846,59,59,60,55,-1054,-33,133,2569,22
2017-09-27 17:01:55.861,1506524515861,50,60,64,120,-1062,-27,105,2527,21
2017-09-27 17:01:55.914,1506524515914,60,61,55,55,-1053,-27,127,2582,22
2017-09-27 17:01:57.931,1506524517931,50,62,65,121,-1061,-34,102,2547,21
2017-09-27 17:01:57.985,1506524517985,56,62,61,51,-1051,-31,130,2588,22
2017-09-27 17:02:00.004,1506524520004,50,62,66,122,-1062,-34,102,2514,21
2017-09-27 17:02:00.059,1506524520059,61,63,57,35,-1051,-31,130,2543,22
2017-09-27 17:02:02.074,1506524522074,52,62,66,121,-1059,-31,108,2560,21
2017-09-27 17:02:02.129,1506524522129,57,63,63,31,-1054,-30,125,2569,22
2017-09-27 17:02:04.144,1506524524144,41,61,65,122,-1061,-27,103,2547,21
2017-09-27 17:02:04.197,1506524524197,55,62,60,56,-1051,-28,130,2582,22
2017-09-27 17:02:06.217,1506524526217,53,61,64,121,-1059,-34,100,2540,21
2017-09-27 17:02:06.269,1506524526269,61,62,60,56,-1054,-28,130,2543,22
2017-09-27 17:02:08.285,1506524528285,53,60,64,122,-1062,-33,98,2521,21
2017-09-27 17:02:08.340,1506524528340,59,62,61,56,-1051,-33,132,2569,22
2017-09-27 17:02:10.359,1506524530359,48,62,64,121,-1059,-31,101,2527,21
2017-09-27 17:02:10.412,1506524530412,57,62,60,57,-1054,-34,127,2562,22
2017-09-27 17:02:12.427,1506524532427,55,62,65,122,-1056,-31,110,2527,21
2017-09-27 17:02:12.484,1506524532484,51,62,61,54,-1058,-31,133,2549,22
2017-09-27 17:02:14.500,1506524534500,54,61,64,121,-1059,-27,93,2527,21
2017-09-27 17:02:14.553,1506524534553,56,62,62,55,-1051,-31,134,2569,22
2017-09-27 17:02:16.569,1506524536569,53,63,65,121,-1062,-31,102,2527,21
2017-09-27 17:02:16.624,1506524536624,57,62,60,56,-1054,-30,132,2543,22
2017-09-27 17:02:18.640,1506524538640,57,62,66,121,-1062,-28,108,2547,21
2017-09-27 17:02:18.696,1506524538696,54,61,60,55,-1055,-31,130,2543,22
2017-09-27 17:02:20.712,1506524540712,56,62,66,122,-1062,-28,105,2547,21
2017-09-27 17:02:20.766,1506524540766,56,61,61,54,-1050,-34,133,2549,22
2017-09-27 17:02:22.784,1506524542784,55,62,64,122,-1058,-31,102,2547,21
2017-09-27 17:02:22.835,1506524542835,56,61,60,55,-1054,-31,121,2543,22
2017-09-27 17:02:24.854,1506524544854,52,62,66,122,-1063,-30,101,2547,21
2017-09-27 17:02:24.908,1506524544908,58,60,60,56,-1056,-31,132,2569,22
2017-09-27 17:02:26.924,1506524546924,50,62,65,122,-1060,-27,100,2527,21
2017-09-27 17:02:26.980,1506524546980,56,61,60,55,-1051,-33,125,2543,22
2017-09-27 17:02:28.996,1506524548996,52,62,65,122,-1058,-33,106,2540,21
2017-09-27 17:02:29.048,1506524549048,57,62,60,55,-1056,-28,130,2543,22
2017-09-27 17:02:31.066,1506524551066,49,63,65,122,-1062,-27,98,2521,21
2017-09-27 17:02:31.120,1506524551120,54,60,61,56,-1054,-28,126,2569,22
2017-09-27 17:02:33.136,1506524553136,51,62,65,122,-1061,-26,102,2521,21
2017-09-27 17:02:33.193,1506524553193,57,61,61,56,-1058,-34,127,2543,22
2017-09-27 17:02:35.206,1506524555206,52,61,65,122,-1061,-27,102,2521,21
2017-09-27 17:02:35.261,1506524555261,55,60,61,56,-1054,-27,119,2543,22
2017-09-27 17:02:37.278,1506524557278,52,61,65,122,-1058,-30,98,2540,21
2017-09-27 17:02:37.333,1506524557333,56,60,61,57,-1051,-33,130,2543,22
2017-09-27 17:02:39.351,1506524559351,50,61,66,122,-1058,-27,100,2540,21
2017-09-27 17:02:39.403,1506524559403,56,61,60,57,-1055,-31,130,2536,22
2017-09-27 17:02:41.421,1506524561421,51,63,65,122,-1054,-31,106,2547,21
