Time,UNIX_time_ms,RSSI,RSSI2,RSSI3,Lux,Acc_x,Acc_y,Acc_z,Temperature,nodeId
2017-08-14 14:56:41.668,1502715401668,57,44,44,195,-1093,-54,146,2413,3
2017-08-14 14:56:41.686,1502715401686,74,58,46,125,-1075,1,111,2431,4
2017-08-14 14:56:41.704,1502715401704,43,61,32,173,-1088,-57,109,2453,6
2017-08-14 14:56:41.721,1502715401721,56,60,33,158,-1054,-50,117,2381,5
2017-08-14 14:56:41.751,1502715401751,56,63,41,157,-1050,-54,85,2349,11
2017-08-14 14:56:41.768,1502715401768,60,40,41,207,-1032,42,100,2495,9
2017-08-14 14:56:41.785,1502715401785,53,63,42,144,-1035,-22,78,2443,12
2017-08-14 14:56:41.804,1502715401804,55,67,29,92,-1015,28,178,2460,7
2017-08-14 14:56:41.890,1502715401890,41,62,48,210,-1053,-60,62,2437,14
2017-08-14 14:56:41.910,1502715401910,54,65,28,116,-1096,-31,126,2423,15
2017-08-14 14:56:41.928,1502715401928,60,59,33,182,-1047,16449,17410,2526,19
2017-08-14 14:56:41.946,1502715401946,53,57,32,123,-1103,-52,125,2402,17
2017-08-14 14:56:42.014,1502715402014,56,63,43,107,-1071,10,130,2466,20
2017-08-14 14:56:42.031,1502715402031,60,52,49,157,-1059,-27,102,2417,21
2017-08-14 14:56:42.051,1502715402051,66,48,40,98,-1055,-27,111,2458,22
2017-08-14 14:56:42.728,1502715402728,58,44,43,195,-1091,-55,144,2400,3
2017-08-14 14:56:42.749,1502715402749,74,58,46,125,-1080,5,110,2424,4
2017-08-14 14:56:42.766,1502715402766,56,60,35,159,-1052,-55,119,2407,5
2017-08-14 14:56:42.785,1502715402785,44,60,30,173,-1094,-59,110,2427,6
2017-08-14 14:56:42.810,1502715402810,55,67,31,93,-1018,29,174,2479,7
2017-08-14 14:56:42.826,1502715402826,53,62,41,145,-1031,-25,82,2443,12
2017-08-14 14:56:42.845,1502715402845,37,42,25,141,-1083,-63,109,2463,10
2017-08-14 14:56:42.865,1502715402865,60,40,41,207,-1037,44,102,2488,9
2017-08-14 14:56:42.883,1502715402883,56,62,40,157,-1047,-52,78,2349,11
2017-08-14 14:56:42.951,1502715402951,41,61,48,210,-1056,-59,58,2437,14
