Time,UNIX_time_ms,RSSI,RSSI2,RSSI3,Lux,Acc_x,Acc_y,Acc_z,Temperature,nodeId
2017-08-14 15:13:52.100,1502716432100,61,52,50,167,-1090,-47,151,2374,3
2017-08-14 15:13:52.121,1502716432121,74,58,45,124,-1083,-2,110,2431,4
2017-08-14 15:13:52.138,1502716432138,41,60,43,170,-1058,-54,119,2407,5
2017-08-14 15:13:52.155,1502716432155,54,64,35,98,-1095,-51,94,2427,6
2017-08-14 15:13:52.182,1502716432182,55,68,36,92,-1012,33,174,2382,7
2017-08-14 15:13:52.199,1502716432199,60,46,41,182,-1047,-58,74,2368,11
2017-08-14 15:13:52.215,1502716432215,55,66,37,105,-1083,-60,102,2463,10
2017-08-14 15:13:52.232,1502716432232,39,59,38,182,-1034,34,105,2482,9
2017-08-14 15:13:52.248,1502716432248,58,64,44,112,-1031,-19,77,2469,12
2017-08-14 15:13:52.320,1502716432320,42,49,37,148,-1054,-54,60,2418,14
2017-08-14 15:13:52.344,1502716432344,53,61,36,168,-1099,-39,126,2423,15
2017-08-14 15:13:52.361,1502716432361,60,49,36,177,-1043,62,61,2531,19
2017-08-14 15:13:52.378,1502716432378,54,62,40,138,-1106,-54,127,2435,17
2017-08-14 15:13:52.446,1502716432446,67,52,41,99,-1071,6,126,2427,20
2017-08-14 15:13:52.463,1502716432463,57,58,36,153,-1061,-35,97,2443,21
2017-08-14 15:13:52.483,1502716432483,51,54,40,116,-1051,-35,110,2439,22
2017-08-14 15:13:53.163,1502716433163,60,52,49,167,-1090,-60,149,2400,3
2017-08-14 15:13:53.183,1502716433183,74,58,47,124,-1083,5,114,2398,4
2017-08-14 15:13:53.201,1502716433201,44,61,32,170,-1056,-54,124,2407,5
2017-08-14 15:13:53.220,1502716433220,53,65,38,98,-1088,-51,110,2427,6
2017-08-14 15:13:53.247,1502716433247,55,68,34,92,-1011,29,178,2401,7
2017-08-14 15:13:53.263,1502716433263,57,64,45,111,-1030,-19,79,2450,12
2017-08-14 15:13:53.280,1502716433280,54,66,35,105,-1090,-58,105,2463,10
2017-08-14 15:13:53.298,1502716433298,39,60,41,182,-1030,37,105,2488,9
2017-08-14 15:13:53.315,1502716433315,60,46,38,182,-1055,-47,78,2349,11
