Time,UNIX_time_ms,RSSI,RSSI2,RSSI3,Lux,Acc_x,Acc_y,Acc_z,Temperature,nodeId
2017-08-14 15:36:34.377,1502717794377,57,48,39,187,-1087,-59,153,2426,3
2017-08-14 15:36:34.398,1502717794398,74,58,46,115,-1079,1,113,2424,4
2017-08-14 15:36:34.415,1502717794415,53,62,42,135,-1087,-58,101,2427,6
2017-08-14 15:36:34.434,1502717794434,58,60,30,151,-1053,-54,125,2407,5
2017-08-14 15:36:34.459,1502717794459,55,68,40,89,-1010,33,178,2369,7
2017-08-14 15:36:34.475,1502717794475,42,59,44,176,-1035,38,102,2469,9
2017-08-14 15:36:34.493,1502717794493,53,67,42,98,-1050,-49,91,2342,11
2017-08-14 15:36:34.510,1502717794510,45,61,40,167,-1087,-66,119,2405,10
2017-08-14 15:36:34.528,1502717794528,61,42,40,216,-1038,-23,68,2495,12
2017-08-14 15:36:34.598,1502717794598,54,56,40,126,-1051,-51,63,2392,14
2017-08-14 15:36:34.620,1502717794620,67,47,43,103,-1094,-34,125,2397,15
2017-08-14 15:36:34.638,1502717794638,55,65,33,97,-1104,-54,132,2435,17
2017-08-14 15:36:34.655,1502717794655,57,65,42,100,-1058,-34,134,2476,18
2017-08-14 15:36:34.674,1502717794674,60,54,50,147,-1045,65,69,2531,19
2017-08-14 15:36:34.721,1502717794721,57,48,37,173,-1071,1,116,2466,20
2017-08-14 15:36:34.739,1502717794739,45,49,38,131,-1058,-27,102,2417,21
2017-08-14 15:36:34.759,1502717794759,53,61,31,138,-1051,-35,125,2484,22
2017-08-14 15:36:35.438,1502717795438,57,48,40,187,-1088,-54,146,2432,3
2017-08-14 15:36:35.460,1502717795460,74,57,47,115,-1079,-1,117,2444,4
2017-08-14 15:36:35.479,1502717795479,53,62,41,135,-1090,-52,98,2401,6
2017-08-14 15:36:35.496,1502717795496,57,60,33,151,-1058,-47,116,2388,5
2017-08-14 15:36:35.519,1502717795519,54,68,40,89,-1011,30,180,2401,7
2017-08-14 15:36:35.536,1502717795536,41,60,44,176,-1030,36,100,2443,9
2017-08-14 15:36:35.554,1502717795554,44,60,40,167,-1090,-70,106,2489,10
2017-08-14 15:36:35.571,1502717795571,60,44,39,216,-1038,-26,69,2502,12
2017-08-14 15:36:35.588,1502717795588,54,67,42,98,-1054,-50,84,2342,11
2017-08-14 15:36:35.660,1502717795660,54,55,39,126,-1053,-47,62,2392,14
2017-08-14 15:36:35.682,1502717795682,67,48,44,103,-1101,-31,121,2403,15
2017-08-14 15:36:35.720,1502717795720,55,65,27,97,-1109,-54,135,2454,17
2017-08-14 15:36:35.782,1502717795782,57,48,39,173,-1069,2,125,2479,20
2017-08-14 15:36:35.801,1502717795801,45,49,36,131,-1058,-27,102,2443,21
2017-08-14 15:36:35.819,1502717795819,53,61,31,138,-1051,-33,119,2497,22
2017-08-14 15:36:36.502,1502717796502,58,47,41,187,-1088,-58,154,2426,3
2017-08-14 15:36:36.522,1502717796522,74,57,46,114,-1078,2,117,2450,4
2017-08-14 15:36:36.542,1502717796542,57,60,29,151,-1053,-51,117,2388,5
2017-08-14 15:36:36.559,1502717796559,54,61,42,135,-1090,-51,105,2408,6
2017-08-14 15:36:36.585,1502717796585,54,68,38,89,-1014,33,180,2401,7
