Time,UNIX_time_ms,RSSI,RSSI2,RSSI3,Lux,Acc_x,Acc_y,Acc_z,Temperature,nodeId
2017-08-14 14:39:02.641,1502714342641,37,53,40,126,-1042,68,69,2498,19
2017-08-14 14:39:02.694,1502714342694,61,52,47,152,-1074,5,125,2388,20
2017-08-14 14:39:02.711,1502714342711,60,49,40,176,-1062,-33,98,2443,21
2017-08-14 14:39:02.732,1502714342732,56,63,42,96,-1054,-31,121,2465,22
2017-08-14 14:39:03.410,1502714343410,54,63,37,163,-1087,-54,157,2400,3
2017-08-14 14:39:03.429,1502714343429,73,58,47,119,-1079,-1,111,2450,4
2017-08-14 14:39:03.446,1502714343446,44,58,39,184,-1090,-58,102,2408,6
2017-08-14 14:39:03.464,1502714343464,45,60,38,162,-1058,-55,125,2440,5
2017-08-14 14:39:03.493,1502714343493,53,67,33,88,-1013,30,175,2317,7
2017-08-14 14:39:03.510,1502714343510,61,48,46,216,-1038,-28,78,2489,12
2017-08-14 14:39:03.528,1502714343528,53,67,44,96,-1087,-63,111,2463,10
2017-08-14 14:39:03.546,1502714343546,55,66,44,102,-1047,-51,78,2342,11
2017-08-14 14:39:03.631,1502714343631,52,62,44,145,-1056,-51,60,2385,14
2017-08-14 14:39:03.652,1502714343652,66,52,38,106,-1099,-27,114,2403,15
2017-08-14 14:39:03.670,1502714343670,38,54,43,126,-1043,68,69,2498,19
2017-08-14 14:39:03.687,1502714343687,52,58,42,117,-1058,-38,132,2385,18
2017-08-14 14:39:03.708,1502714343708,57,48,42,177,-1102,-58,121,2454,17
2017-08-14 14:39:03.755,1502714343755,62,49,48,153,-1074,5,121,2414,20
2017-08-14 14:39:03.772,1502714343772,60,49,42,176,-1062,-35,102,2456,21
2017-08-14 14:39:03.790,1502714343790,57,62,45,96,-1048,-34,117,2478,22
2017-08-14 14:39:04.474,1502714344474,54,61,36,162,-1086,-58,150,2400,3
2017-08-14 14:39:04.491,1502714344491,74,57,48,119,-1079,1,110,2424,4
2017-08-14 14:39:04.507,1502714344507,46,59,37,184,-1090,-59,105,2408,6
2017-08-14 14:39:04.524,1502714344524,42,61,33,162,-1058,-54,127,2394,5
2017-08-14 14:39:04.555,1502714344555,63,50,38,216,-1035,-27,74,2456,12
2017-08-14 14:39:04.573,1502714344573,54,66,42,101,-1053,-44,76,2342,11
2017-08-14 14:39:04.592,1502714344592,55,63,37,135,-1035,37,102,2462,9
2017-08-14 14:39:04.612,1502714344612,55,66,36,87,-1010,29,183,2382,7
2017-08-14 14:39:04.691,1502714344691,54,63,44,144,-1054,-52,61,2366,14
2017-08-14 14:39:04.712,1502714344712,66,53,42,106,-1094,-34,125,2397,15
2017-08-14 14:39:04.729,1502714344729,52,58,40,117,-1054,-38,129,2366,18
2017-08-14 14:39:04.750,1502714344750,58,41,44,177,-1106,-57,130,2402,17
2017-08-14 14:39:04.817,1502714344817,62,51,50,153,-1072,2,122,2421,20
2017-08-14 14:39:04.834,1502714344834,61,47,38,176,-1061,-31,95,2443,21
2017-08-14 14:39:04.853,1502714344853,56,63,45,94,-1051,-30,122,2445,22
2017-08-14 14:39:05.532,1502714345532,56,61,38,162,-1086,-59,149,2380,3
2017-08-14 14:39:05.554,1502714345554,74,57,46,120,-1082,5,110,2424,4
2017-08-14 14:39:05.570,1502714345570,38,60,28,160,-1055,-55,129,2407,5
2017-08-14 14:39:05.588,1502714345588,38,58,42,181,-1093,-59,102,2414,6
2017-08-14 14:39:05.615,1502714345615,55,68,34,86,-1015,33,183,2375,7
2017-08-14 14:39:05.649,1502714345649,61,49,42,217,-1038,-25,76,2469,12
2017-08-14 14:39:05.666,1502714345666,52,67,42,92,-1083,-66,98,2463,10
2017-08-14 14:39:05.752,1502714345752,53,63,44,144,-1051,-51,66,2379,14
2017-08-14 14:39:05.771,1502714345771,66,53,42,108,-1094,-33,106,2364,15
