Time,UNIX_time_ms,RSSI,RSSI2,RSSI3,Lux,Acc_x,Acc_y,Acc_z,Temperature,nodeId
2017-08-14 16:00:09.586,1502719209586,67,48,40,102,-1090,-52,141,2374,3
2017-08-14 16:00:09.606,1502719209606,75,58,45,118,-1078,1,110,2483,4
2017-08-14 16:00:09.624,1502719209624,58,47,38,181,-1058,-58,117,2427,5
2017-08-14 16:00:09.642,1502719209642,56,47,40,182,-1090,-54,102,2453,6
2017-08-14 16:00:09.667,1502719209667,49,68,39,94,-1015,33,177,2401,7
2017-08-14 16:00:09.684,1502719209684,57,65,46,110,-1087,-63,102,2476,10
2017-08-14 16:00:09.702,1502719209702,60,44,42,204,-1035,38,96,2488,9
2017-08-14 16:00:09.720,1502719209720,53,63,41,140,-1048,-43,76,2323,11
2017-08-14 16:00:09.737,1502719209737,42,62,45,200,-1038,-26,76,2508,12
2017-08-14 16:00:09.807,1502719209807,50,66,38,114,-1058,-54,62,2431,14
2017-08-14 16:00:09.828,1502719209828,48,52,34,154,-1095,-35,117,2436,15
2017-08-14 16:00:09.845,1502719209845,61,56,52,157,-1106,-57,133,2467,17
2017-08-14 16:00:09.863,1502719209863,55,57,37,120,-1051,-36,126,2405,18
2017-08-14 16:00:09.882,1502719209882,51,67,44,96,-1046,69,78,2498,19
2017-08-14 16:00:09.929,1502719209929,38,60,28,170,-1072,1,130,2466,20
2017-08-14 16:00:09.949,1502719209949,52,62,38,150,-1062,-30,102,2436,21
2017-08-14 16:00:09.968,1502719209968,55,59,26,149,-1051,-34,116,2478,22
2017-08-14 16:00:10.651,1502719210651,67,49,40,101,-1090,-44,143,2374,3
2017-08-14 16:00:10.670,1502719210670,74,58,41,118,-1075,-1,114,2450,4
2017-08-14 16:00:10.689,1502719210689,58,46,42,181,-1054,-51,111,2407,5
2017-08-14 16:00:10.708,1502719210708,56,45,41,181,-1094,-57,105,2453,6
2017-08-14 16:00:10.730,1502719210730,52,68,27,94,-1010,29,173,2421,7
2017-08-14 16:00:10.747,1502719210747,60,43,40,204,-1037,44,98,2501,9
2017-08-14 16:00:10.765,1502719210765,54,63,42,140,-1054,-43,78,2323,11
2017-08-14 16:00:10.783,1502719210783,57,65,46,110,-1086,-63,102,2502,10
2017-08-14 16:00:10.869,1502719210869,49,66,39,114,-1053,-54,62,2431,14
2017-08-14 16:00:10.892,1502719210892,49,51,35,154,-1094,-34,125,2423,15
2017-08-14 16:00:10.909,1502719210909,50,66,41,96,-1040,69,69,2498,19
2017-08-14 16:00:10.926,1502719210926,61,56,52,157,-1104,-59,126,2454,17
2017-08-14 16:00:10.946,1502719210946,56,57,36,120,-1048,-36,130,2405,18
2017-08-14 16:00:10.992,1502719210992,42,61,33,169,-1070,1,126,2473,20
2017-08-14 16:00:11.014,1502719211014,51,61,32,150,-1061,-31,105,2443,21
2017-08-14 16:00:11.032,1502719211032,55,58,29,149,-1048,-33,121,2484,22
2017-08-14 16:00:11.708,1502719211708,68,48,42,101,-1088,-49,145,2393,3
2017-08-14 16:00:11.730,1502719211730,74,58,43,117,-1079,1,111,2457,4
2017-08-14 16:00:11.747,1502719211747,57,47,41,182,-1094,-55,105,2447,6
2017-08-14 16:00:11.766,1502719211766,58,47,42,180,-1054,-54,117,2407,5
2017-08-14 16:00:11.791,1502719211791,51,68,37,93,-1014,31,178,2388,7
2017-08-14 16:00:11.808,1502719211808,42,61,43,200,-1035,-31,78,2502,12
2017-08-14 16:00:11.844,1502719211844,54,63,43,140,-1046,-42,88,2297,11
2017-08-14 16:00:11.929,1502719211929,50,66,36,114,-1056,-51,68,2437,14
2017-08-14 16:00:11.950,1502719211950,49,50,33,154,-1102,-38,122,2423,15
2017-08-14 16:00:11.967,1502719211967,61,55,53,157,-1103,-59,125,2474,17
2017-08-14 16:00:11.984,1502719211984,50,67,36,96,-1048,69,77,2498,19
2017-08-14 16:00:12.054,1502719212054,41,61,33,169,-1074,1,127,2466,20
2017-08-14 16:00:12.073,1502719212073,53,61,33,150,-1061,-33,98,2456,21
2017-08-14 16:00:12.094,1502719212094,55,58,25,149,-1054,-27,121,2491,22
2017-08-14 16:00:12.769,1502719212769,67,49,42,102,-1086,-54,146,2380,3
2017-08-14 16:00:12.790,1502719212790,74,58,43,118,-1079,1,110,2476,4
2017-08-14 16:00:12.809,1502719212809,57,45,41,182,-1088,-57,102,2486,6
2017-08-14 16:00:12.826,1502719212826,58,47,43,181,-1058,-54,125,2427,5
2017-08-14 16:00:12.852,1502719212852,52,68,37,94,-1010,29,170,2388,7
2017-08-14 16:00:12.868,1502719212868,44,62,44,200,-1037,-27,81,2508,12
2017-08-14 16:00:12.901,1502719212901,55,63,39,140,-1051,-51,74,2323,11
2017-08-14 16:00:12.989,1502719212989,49,66,39,114,-1051,-51,66,2431,14
2017-08-14 16:00:13.013,1502719213013,48,51,32,155,-1095,-42,132,2397,15
2017-08-14 16:00:13.030,1502719213030,55,57,37,120,-1054,-42,132,2392,18
2017-08-14 16:00:13.047,1502719213047,60,55,53,157,-1104,-58,125,2435,17
2017-08-14 16:00:13.064,1502719213064,52,66,38,96,-1045,68,71,2518,19
2017-08-14 16:00:13.113,1502719213113,43,60,36,169,-1071,5,137,2479,20
2017-08-14 16:00:13.132,1502719213132,52,62,36,150,-1058,-31,106,2443,21
2017-08-14 16:00:13.150,1502719213150,55,58,39,149,-1053,-35,121,2484,22
2017-08-14 16:00:13.832,1502719213832,68,51,38,102,-1094,-51,153,2393,3
2017-08-14 16:00:13.852,1502719213852,74,58,42,118,-1083,1,116,2450,4
2017-08-14 16:00:13.868,1502719213868,57,47,43,181,-1055,-59,117,2407,5
2017-08-14 16:00:13.887,1502719213887,57,45,42,182,-1090,-62,102,2447,6
2017-08-14 16:00:13.914,1502719213914,52,68,35,94,-1010,28,170,2401,7
2017-08-14 16:00:13.930,1502719213930,58,65,44,110,-1083,-59,114,2496,10
2017-08-14 16:00:13.946,1502719213946,61,44,40,204,-1033,38,101,2514,9
2017-08-14 16:00:13.963,1502719213963,53,63,41,140,-1058,-49,89,2349,11
2017-08-14 16:00:14.050,1502719214050,49,66,36,115,-1051,-50,61,2437,14
2017-08-14 16:00:14.072,1502719214072,49,52,35,155,-1094,-38,121,2423,15
2017-08-14 16:00:14.089,1502719214089,52,67,37,97,-1045,74,81,2498,19
2017-08-14 16:00:14.107,1502719214107,60,55,51,158,-1106,-54,127,2454,17
2017-08-14 16:00:14.177,1502719214177,44,60,29,171,-1071,1,125,2460,20
2017-08-14 16:00:14.194,1502719214194,51,62,37,150,-1058,-34,105,2443,21
