node,position,radioEnergy,memsEnergy,lightEnergy,cpuEnergy
4,141,31958385186,0,7756898,1813482252
9,213,29501030094,24320862,11506126,3604885880
10,213,33142945746,23954766,11561434,345914661528
14,211,138294953682,0,6491586,293155470100
15,153,1123563846478,532913137,198378098,39330769716
