node,position,radioEnergy,memsEnergy,lightEnergy,cpuEnergy
4,222,31958378598,0,7756574,1813282352
9,222,29501049242,24320874,11506126,3604885880
10,213,33122878642,23954778,11561438,345914669528
14,241,138226557026,0,6491582,293155639720
15,132,1123552981634,532913149,198378082,39329570316
16,143,1123548206566,532913089,198378482,39357644272
