node,position,radioEnergy,memsEnergy,lightEnergy,cpuEnergy
4,122,31958378598,0,7756558,1813306340
9,223,29501030094,24320850,11506122,3604861888
10,213,33129618738,23954778,11561438,345914653532
14,242,138294953682,0,6491582,293155446112
15,133,1123577032842,532919725,198378090,39329844376
16,132,1123557495030,532913113,198378486,39357316432
