node,position,radioEnergy,memsEnergy,lightEnergy,cpuEnergy
4,111,31956865906,0,7756578,1813473940
9,122,29501010946,24320886,11506130,3604909868
10,213,33152443154,23954790,11561442,345914629544
14,213,138294934534,0,6491578,293155406128
15,133,1123563476934,532913065,198378066,39328250976
16,142,1123558549110,532913101,198378486,39357732228
