node,position,radioEnergy,memsEnergy,lightEnergy,cpuEnergy
4,232,31958385186,0,7756790,1813514232
9,111,29501030094,24320778,11506094,3604821908
10,213,33140935206,23954694,11561414,345914653532
14,211,138294953682,0,6491550,293155486088
15,213,1123562146158,532913149,198378042,39327147528
16,241,1123557336918,532913113,198378454,39355813188
