node,position,radioEnergy,memsEnergy,lightEnergy,cpuEnergy
4,113,31958385186,0,7756814,1813594192
9,243,29501017534,24320862,11506122,3604901872
10,213,33133652378,23954802,11561446,345914661528
14,212,138294953682,0,6491578,293155478092
15,151,1123530091942,532882033,198358094,39330111668
